,Annotated_reduced_label,Unit,Turn,B4,B2,Annotated_emotion_id
0,4,Good morning. How are you doing today?,0,0,20180904-045349_715_live,joyful
1,21,I'm doing pretty good for a Tuesday morning. ,1,0,20180904-045349_715_live,content
2,12,Ugh yes it does!,2,0,20180904-045349_715_live,annoyed
3,11,Where are you from? ,3,0,20180904-045349_715_live,surprised
4,11,I'm from the South East. It's always warm here. ,4,0,20180904-045349_715_live,surprised
5,19,We're about to get hit by a tropical storm.,5,0,20180904-045349_715_live,anxious
6,9,Me too. It's just part of living on the Gulf. You have to be prepared for it.,6,0,20180904-045349_715_live,prepared
7,17,We do. I guess I should get into what this chat is supposed to be about. Have you heard of the Charity Save The Children?,7,0,20180904-045349_715_live,caring
8,22,I like that they're committed to helping children in need. They're very transparent in their work and do great things to help children in underprivileged countries. ,8,0,20180904-045349_715_live,impressed
9,17,I'm planning on donating most of my earnings today. Would you like to donate as well?,9,0,20180904-045349_715_live,caring
10,8,Yes it would. Any little bit helps. Thank you for your donation!,10,0,20180904-045349_715_live,grateful
11,4,Good Evening,0,0,20180904-154250_98_live,joyful
12,17,I am doing well! How are doing today?,1,0,20180904-154250_98_live,caring
13,2,I'd like to tell you about a great program I am working on!  Have you ever heard of Save the Children?,2,0,20180904-154250_98_live,proud
14,15,Save the Children is a non-governmental organization that operations world wide raising funds through partners and donations to fight for children's rights and provide relief and support for children in developing countires. ,3,0,20180904-154250_98_live,confident
15,17,I would and I have!  9 out of every 10 dollars goes directly to a child in need. ,4,0,20180904-154250_98_live,caring
16,17,"Absolutely!  There are a variety of ways to be a part of the program outside of donations.  They have a program to sponsor a child in need, you can throw a fundraising event or participate in events such as triatholons to raise funds, or help advocate for children.  ",5,0,20180904-154250_98_live,caring
17,17,You are more than welcome to donate today and your donation will be sent to Save the Children to go towards programs that help the children directly.  ,6,0,20180904-154250_98_live,caring
18,20,"You can donate up to two dollars of your payment, but more is always appreciated! ",7,0,20180904-154250_98_live,hopeful
19,8,Thank you so much for you generous donation!  To answer any more questions the link is  URL ,8,0,20180904-154250_98_live,grateful
20,8,You're welcome and thank you!  Have a great rest of your evening!,9,0,20180904-154250_98_live,grateful
21,17,"Hi, how are you today?",0,0,20180904-024226_703_live,caring
22,21,Not too bad :) Have you heard of Save The Children?,1,0,20180904-024226_703_live,content
23,22,They do greeat work at least I think what about you?,2,0,20180904-024226_703_live,impressed
24,22,I know normally I am too but I was convinced to research them once by a very giving friend and I found that they do a lot of awesome work and a big majority if not all donations go back into the charity and lining someones pocket,3,0,20180904-024226_703_live,impressed
25,3,"hehe, I meant rather then lining someones pocket....So do I have your commitment to donating some today at the end of the HIT?",4,0,20180904-024226_703_live,trusting
26,20,They give you an option at the end of the HIT to donate even 0.01 would be very helpful....a penny couldn't hurt could it?,5,0,20180904-024226_703_live,hopeful
27,15,"Good, and I'll match and times it by five and now we'll have donated 0.06",6,0,20180904-024226_703_live,confident
28,20,"yes, it'l be taken from your bonus and you won't even notice it missing to be honest.... good karma.... maybe you'll be lucky today ;)",7,0,20180904-024226_703_live,hopeful
29,17,how's the weather?,8,0,20180904-024226_703_live,caring
30,21,it's warm but not rainy that I know of,9,0,20180904-024226_703_live,content
31,17,"Hi, my name is Nicole how are you today?",0,0,20180904-100019_870_live,caring
32,4,"Wonderful Ted, I m pretty good myself",1,0,20180904-100019_870_live,joyful
33,21,You know it was pretty laid back....my family chose a seafood theme for dinnera this year... how did your day go?,2,0,20180904-100019_870_live,content
34,4,Awesome...just spending time together is a wonderful opportunity not enough people take advantage of anymore.,3,0,20180904-100019_870_live,joyful
35,17,You are absolutely right... with the holidays eason approaching I always try to locate an organization for my family to actively help raise money or conduct fundraisers for diffetent supplies and such they will need throughout the year,4,0,20180904-100019_870_live,caring
36,17,We just finished a donation drive to provide supplies for teachers... and decided to stick with helping organizations and persons assisting kids... one of which is Save the Children,5,0,20180904-100019_870_live,caring
37,3,"Absolutely  URL ....it's non-goverment organization that promote's the rights of children for aide with health, education, their overall wellbeing and safety",6,0,20180904-100019_870_live,trusting
38,22,Absolutely.... I love their purpose and Im looking forward to gelpibg as much as possible ... a donation would be wonserful,7,0,20180904-100019_870_live,impressed
39,8,Absolutely....that would be greatly appreciates...every dollar counts towards success,8,0,20180904-100019_870_live,grateful
40,8,"Awww, thank you so mich... more amazingly selfless people are needed in the world",9,0,20180904-100019_870_live,grateful
41,8,Your right....if we all do alittle it makea a major impact.... you have a wonderful day and continue being great....thanks again,10,0,20180904-100019_870_live,grateful
42,17, Given to the needed and less privileged in our society makes a better world ,0,0,20180904-001208_706_live,caring
43,20,i am very fine and would want to know if you have considered  giving to support a good course before.... ,1,0,20180904-001208_706_live,hopeful
44,17,Smile first or First Smile ...this is non governmental organisation established by Snipess Jessey Armah to help put a smile on the face of children in west Africa  ,2,0,20180904-001208_706_live,caring
45,17,well All for a good Course i will give and never regret it.....if donations are giving for the  helped  needed any where in the world i do not really mind how about you...?,3,0,20180904-001208_706_live,caring
46,17,this donation is purposefully for Save the Children ,4,0,20180904-001208_706_live,caring
47,15,yes this is an international Children Charity organisation ,5,0,20180904-001208_706_live,confident
48,17,"this organisation cut accross 12 countries like India, Mexico , Libya , Ghana among many other Countries ....but the main goal is that  we put nutritious amount of food on the table for this children  some part of this donations also is water and Clothing  and more of this goes females to have sanitary pads among other useful  domestic needs  ",6,0,20180904-001208_706_live,caring
49,20,"yes , your help in any other way is possible .",7,0,20180904-001208_706_live,hopeful
50,3,none that i know of but trust me you and i and the world as a whole is the Big Company we are each others keeper that is why we are asking you to make a change when you look in that mirror starting with you the person you see in the mirror by doing so we are closer than a brother or a sister to one another  ,8,0,20180904-001208_706_live,trusting
51,8,thank you so much for the Faith and the good heart of yours we are closer than a brother or sister we are each others keeper...Smile First or First Smile...thank you,9,0,20180904-001208_706_live,grateful
52,8,thank you once again indeed the world can be a better place through Donations a little kindness at a time.....SMILE FIRST OR FIRST SMILE,10,0,20180904-001208_706_live,grateful
53,4,Good morning.,0,0,20180904-073734_888_live,joyful
54,17,"I'm great, thank you for asking! Do you have some time today to talk about an amazing charity I am part of?",1,0,20180904-073734_888_live,caring
55,15,"It's called Save the Children and we work towards helping disadvantaged children around the world have adequate food, shelter and healthcare.",2,0,20180904-073734_888_live,confident
56,2,"Great question. No, we work all around the world, wherever our help is needed.",3,0,20180904-073734_888_live,proud
57,15,"Absolutely, we are always looking for individuals who are willing to contribute to the cause.",4,0,20180904-073734_888_live,confident
58,15,A donation of just $1 can help feed a child for 5 days.,5,0,20180904-073734_888_live,confident
59,17,The money goes towards providing meals and clean water.,6,0,20180904-073734_888_live,caring
60,8,That's great! Thank you very much for your donation!,7,0,20180904-073734_888_live,grateful
61,15,The research team will collect all donations and send it to Save the Children.,8,0,20180904-073734_888_live,confident
62,3,"We do maintain support staff in country who are paid a living wage, but the rest of our staff are volunteers.",9,0,20180904-073734_888_live,trusting
63,17,Hello how are you today?,0,0,20180904-133536_2_live,caring
64,8,"Good thank you for asking, have you ever donated to charity?",1,0,20180904-133536_2_live,grateful
65,22,"Great, have you heard of the Save the Children Charity?",2,0,20180904-133536_2_live,impressed
